xyz_path,filename,smiles,error
data\raw\xyz\1\1CO2.xyz,1CO2.xyz,c1(c(c(c(c(c1P(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C)F)F)B(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F)F)F.O=C=O,
data\raw\xyz\10\10CO2.xyz,10CO2.xyz,c12ccccc1[N]1(C(CCCC1(C)C)(C)C)C(=O)O[BH2]2,
data\raw\xyz\103\103CO2.xyz,103CO2.xyz,P1(c2cccc3cccc(B(c4c(cc(cc4C)C)C)OC1=O)c23)c1c(cc(cc1C)C)C,
data\raw\xyz\104\104CO2.xyz,104CO2.xyz,P1(c2cccc3cccc(B(c4c(cccc4C)C)OC1=O)c23)c1c(cccc1C)C,
data\raw\xyz\105\105CO2.xyz,105CO2.xyz,[P]1(c2c3c([B](c4c(cc(cc4C)C)C)(c4c(cc(cc4C)C)C)OC1=O)cccc3ccc2)(C(C)C)C(C)C,
data\raw\xyz\106\106CO2.xyz,106CO2.xyz,c12cccc3cccc(c13)[B](C1CCCCC1)(C1CCCCC1)OC(=O)[P]2(C(C)C)C(C)C,
data\raw\xyz\107\107CO2.xyz,107CO2.xyz,c12cccc3cccc(c13)[B]1(c3ccccc3-c3ccccc13)OC(=O)[P]2(C(C)C)C(C)C,
data\raw\xyz\108\108CO2.xyz,108CO2.xyz,[B]1(c2c3c(cccc3ccc2)[P](c2ccccc2)(c2ccccc2)C(=O)O1)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\109\109CO2.xyz,109CO2.xyz,[B]1(c2c3c(ccc4c3c(cc2)CC4)[P](c2ccccc2)(c2ccccc2)C(=O)O1)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\11\11CO2.xyz,11CO2.xyz,c12ccccc1[N]1(C(CCCC1(C)C)(C)C)C(=O)O[B]2(Cl)Cl,
data\raw\xyz\111\111CO2.xyz,111CO2.xyz,[P]1(c2ccccc2)(c2c3-c4c(cccc4-c3ccc2)[B](c2c(cc(cc2C)C)C)(c2c(cc(cc2C)C)C)OC1=O)c1ccccc1,
data\raw\xyz\112\112CO2.xyz,112CO2.xyz,[P]1(c2cccc3-c4cccc(c4-c23)[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)OC1=O)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\113\113CO2.xyz,113CO2.xyz,[P]1(c2ccccc2[B](c2c(cc(cc2C)C)C)(c2c(cc(cc2C)C)C)OC1=O)(C1CCCCC1)C1CCCCC1,
data\raw\xyz\114\114CO2.xyz,114CO2.xyz,[B]1([C@H]2[C@H]([N]3(CCCCC3)C(=O)O1)CCC2)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\115\115CO2.xyz,115CO2.xyz,c1cc2c(cc1)[N](C)(C)C(=O)O[BH2]2,
data\raw\xyz\12\12CO2.xyz,12CO2.xyz,c12ccccc1[N]1(C(CCCC1(C)C)(C)C)C(=O)O[B@H]2Cl,
data\raw\xyz\120\120CO2.xyz,120CO2.xyz,N1(CCCB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)C(CCCC1(C)C)(C)C.O=C=O,
data\raw\xyz\122\122CO2.xyz,122CO2.xyz,[P]1(c2c([B](OC)(OC)OC1=O)cccc2)(c1ccccc1)c1ccccc1,
data\raw\xyz\123\123CO2.xyz,123CO2.xyz,P(c1c(B2OC(C(O2)(C)C)(C)C)cccc1)(c1ccccc1)c1ccccc1.O=C=O,
data\raw\xyz\124\124CO2.xyz,124CO2.xyz,P(c1c(B2OCC(CO2)(C)C)cccc1)(c1ccccc1)c1ccccc1.O=C=O,
data\raw\xyz\125\125CO2.xyz,125CO2.xyz,[P]1(c2c([B](OC)(OC)OC1=O)cccc2)(C(C)C)C(C)C,
data\raw\xyz\126\126CO2.xyz,126CO2.xyz,P(c1c(b2oc3c(o2)cccc3)cccc1)(C(C)C)C(C)C.O=C=O,
