xyz_path,filename,smiles,error
data\raw\xyz\1\1.xyz,1.xyz,c1(c(c(c(c(c1P(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C)F)F)B(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F)F)F,
data\raw\xyz\10\10.xyz,10.xyz,c1(ccccc1N1C(CCCC1(C)C)(C)C)B,
data\raw\xyz\103\103.xyz,103.xyz,P1(B(c2cccc3cccc1c23)c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\104\104.xyz,104.xyz,P1(B(c2cccc3cccc1c23)c1c(cccc1C)C)c1c(cccc1C)C,
data\raw\xyz\105\105.xyz,105.xyz,[P]1([B](c2c3c1cccc3ccc2)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C)(C(C)C)C(C)C,
data\raw\xyz\106\106.xyz,106.xyz,c12cccc3cccc(c13)[B]([P]2(C(C)C)C(C)C)(C1CCCCC1)C1CCCCC1,
data\raw\xyz\107\107.xyz,107.xyz,c12cccc3cccc(c13)[B]1(c3ccccc3-c3ccccc13)[P]2(C(C)C)C(C)C,
data\raw\xyz\108\108.xyz,108.xyz,[B]1(c2c3c(cccc3ccc2)[P]1(c1ccccc1)c1ccccc1)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\109\109.xyz,109.xyz,B(c1c2c(ccc3c2c(cc1)CC3)P(c1ccccc1)c1ccccc1)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\11\11.xyz,11.xyz,c1(ccccc1N1C(CCCC1(C)C)(C)C)B(Cl)Cl,
data\raw\xyz\111\111.xyz,111.xyz,P(c1ccccc1)(c1c2-c3c(cccc3-c2ccc1)B(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C)c1ccccc1,
data\raw\xyz\112\112.xyz,112.xyz,P(c1cccc2-c3cccc(c3-c12)B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,
data\raw\xyz\113\113.xyz,113.xyz,P(c1ccccc1B(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C)(C1CCCCC1)C1CCCCC1,
data\raw\xyz\114\114.xyz,114.xyz,B([C@H]1[C@H](N2CCCCC2)CCC1)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,
data\raw\xyz\115\115.xyz,115.xyz,c1cc2c(cc1)[N]([BH2]2)(C)C,
data\raw\xyz\12\12.xyz,12.xyz,c1(ccccc1N1C(CCCC1(C)C)(C)C)BCl,
