FLPID,OLD ID,LA-LB distance (A),H2,E_H2,H_H2,G_H2,E_H2_sol,H_H2_sol,G_H2_sol
0BP06011,1,6.247,H2,-5.3,-1,8.8,-14.1,-9.8,0
0BP07011,2,2.217,H2,-5.2,-1.1,6.5,-10.3,-6.2,1.5
0BN08011,3,3.518,H2,-23.5,-17.1,-7.7,-29.1,-22.7,-13.3
0BP08011,4,1.807,H2,-34.3,-30.1,-20.4,-36.1,-31.9,-22.2
0BP08012,5,1.79,H2,-35,-30.8,-20.4,-36.2,-31.9,-21.6
0BN03011,7,2.991,H2,-3.8,1.9,10.5,-7.9,-2.2,6.4
0BN12011,8,1.758,H2,-9.9,-4,3.8,-13.9,-8,-0.3
0BN17011,9,3.008,H2,-20.3,-14,-6.1,-25.5,-19.2,-11.3
0BN17012,10,2.978,H2,5.2,11.5,21.5,-2.2,4.1,14.1
0BN17013,11,3.011,H2,-14,-7.5,1.4,-22.2,-15.7,-6.7
0BN17014,12,2.912,H2,-9.9,-3.7,6.3,-16.6,-10.4,-0.4
0BN17015,13,2.96,H2,-15.2,-9.1,-0.5,-22,-15.9,-7.3
0BN17016,14,1.725,H2,-3.3,4.6,10.7,-6.6,1.3,7.3
0BN17017,15,1.753,H2,-10,-3.7,4.3,-13.3,-6.9,1.1
0BP13011,16,3.462,H2,-17.6,-13.9,-3,-22.7,-19,-8.2
0BP12011,17,2.152,H2,-4.8,-0.6,6.9,-8.6,-4.4,3.1
0BP16011,18,2.173,H2,-21,-16.7,-7.2,-24.5,-20.2,-10.8
0BN10011,19,2.355,H2,-23.7,-17.6,-8.6,-25.7,-19.6,-10.7
0BP15031,20,3.463,H2,-9.7,-5.5,7.2,-14.9,-10.6,2.1
0BP15032,21,2.229,H2,-10.7,-6.5,1.4,-17.9,-13.7,-5.7
0BP16031,22,2.049,H2,19.8,23.6,29,13.7,17.5,22.9
0BP16032,23,2.008,H2,14.8,18.3,24.1,9.5,13.1,18.9
0BN16011,24,1.713,H2,3.7,9,14.9,-1,4.4,10.3
0BN16012,25,1.728,H2,8.2,13.2,17.6,3.4,8.4,12.8
0BP09011,26,2.082,H2,4.1,7.7,13.3,-0.4,3.2,8.8
0BP09012,27,2.171,H2,-7.9,-3.7,3.2,-12.6,-8.3,-1.4
0BP09013,28,2.104,H2,-13.6,-9.6,-1.8,-17.3,-13.3,-5.5
0BP09014,29,2.149,H2,-6.1,-2.3,4.3,-9.6,-5.8,0.8
0BP16021,30,2.121,H2,3.5,7,12,-1.4,2.1,7
0BP16022,31,2.142,H2,0.7,3.8,8.4,-5.1,-2,2.6
0BP16023,32,2.095,H2,0.2,3.2,7.9,-4.6,-1.6,3.1
0BN11031,33,3.258,H2,-15.1,-8.8,-2.1,-19.7,-13.4,-6.7
0BN14011,34,3.508,H2,-18.3,-12.1,-4.1,-23.4,-17.2,-9.2
