FLPID,OLD ID,LA-LB distance (A),H2CO,E_H2CO,H_H2CO,G_H2CO,E_H2CO_sol,H_H2CO_sol,G_H2CO_sol
0BP06011,1,6.247,H2CO,-14,-11.9,2.1,-15.2,6.2,4.3
0BP07011,2,2.217,H2CO,-33.5,-30.5,-16.1,-36.3,-15.3,-19.9
0BN08011,3,3.518,H2CO,-10.2,-8.3,4.8,-10.2,11.1,8.2
0BP08011,4,1.807,H2CO,-3.3,-1.4,14,-5.3,16,15.4
0BP08012,5,1.79,H2CO,-4.2,-2.5,13.4,-3.6,17.5,17.4
0BN03011,7,2.991,H2CO,-25.9,-22.3,-5.9,-38.2,-15.7,-16.5
0BN12011,8,1.758,H2CO,-34.9,-31.4,-17.7,-27.7,-4.8,-4.4
0BN17011,9,3.008,H2CO,-21.9,-17,-1.6,-38,-15.1,-17.4
0BN17012,10,2.978,H2CO,-9.6,-6.5,6.7,-25.8,-1.5,-2.1
0BN17013,11,3.011,H2CO,1.9,3.9,16.5,-10.8,11.7,8.8
0BN17014,12,2.912,H2CO,-19.2,-13.7,3.5,-1.1,20.2,16.9
0BN17015,13,2.96,H2CO,-21.4,-16.5,-0.9,-24.4,0.5,1.6
0BN17016,14,1.725,H2CO,-30.8,-27.2,-13.6,-27,-2.7,-3
0BN17017,15,1.753,H2CO,-35.8,-31.9,-18.2,-34.1,-11.1,-13.5
0BP13011,16,3.462,H2CO,-44.8,-41.6,-24.9,-41,-17.8,-20.1
0BP12011,17,2.152,H2CO,5.7,6.3,18,-47.1,-24.5,-23.8
0BP16011,18,2.173,H2CO,-44.7,-42.1,-28.5,6.7,26.7,22.4
0BN10011,19,2.355,H2CO,-51.2,-47.4,-30.8,-47.1,-25.1,-27.4
0BP15031,20,3.463,H2CO,-37.7,-34.9,-16.9,-52,-28.8,-28.1
0BP15032,21,2.229,H2CO,-29,-25.7,-10.8,-41.3,-19.1,-17
0BP16031,22,2.049,H2CO,18.1,19.1,24.1,-34,-11.4,-12.5
0BP16032,23,2.008,H2CO,-18.6,-16.6,-5.2,19.5,39.8,28.8
0BN16011,24,1.713,H2CO,-17.1,-13.9,-1.8,-22.8,-1.4,-6
0BN16012,25,1.728,H2CO,-2.8,-2.5,7.8,-20.8,1.7,-2.2
0BP09011,26,2.082,H2CO,-23.8,-21.5,-11,-2.3,17.3,11.7
0BP09012,27,2.171,H2CO,-5.2,-3.6,8.2,-27.1,-5.4,-10.9
0BP09013,28,2.104,H2CO,-35.4,-32.9,-20.1,-5.3,15.7,11.5
0BP09014,29,2.149,H2CO,-28,-25,-11.2,-36.9,-15.1,-18.3
0BP16021,30,2.121,H2CO,-19.7,-17.7,-8.1,-29.4,-7.1,-9.3
0BP16022,31,2.142,H2CO,-22.3,-19.9,-7.4,-23.7,-2.3,-8.7
0BP16023,32,2.095,H2CO,-22.8,-20.5,-7.2,-25.5,-3.8,-7.3
0BN11031,33,3.258,H2CO,-1.4,0.6,10.4,-25.1,-3.5,-6.1
0BN14011,34,3.508,H2CO,-34.7,-30.5,-15.7,-1.3,20.1,14
0BN14012,35,3.247,H2CO,-33.7,-29.3,-14.2,-38,-14.4,-15.6
0BN14013,36,3.25,H2CO,-35.9,-31.4,-16,-38,-14.2,-15.1
0BN14014,37,3.119,H2CO,-32.8,-28.6,-13,-40.5,-16.6,-17.2
0BN14015,38,3.778,H2CO,-24.7,-20.4,-4.4,-35.8,-12.3,-12.7
0BN14016,39,3.462,H2CO,-33.6,-29.3,-14.7,-27.7,-4,-4
0BN15021,40,3.344,H2CO,-27.9,-23.6,-8.1,-35.9,-12.2,-13.7
0PN12011,41,1.869,H2CO,-41.3,-37.4,-22.5,-32,-8.4,-8.8
0AN13011,42,3.435,H2CO,-22.3,-18.6,-0.3,-40.9,-17.5,-18.6
0BN18021,43,2.864,H2CO,-9.7,-7.9,5.4,-25.9,-2.8,-0.5
0BP14011,44,3.253,H2CO,-24,-21.9,-6.9,-10.4,10.7,8.1
0BP13021,45,2.028,H2CO,-31.3,-28.5,-13.6,-28.5,-7.1,-8
0BP13022,46,2.019,H2CO,-32.1,-29.6,-15.4,-32.4,-10.2,-11.3
0BP17011,47,3.846,H2CO,-3.4,-1.2,12.8,-33.7,-11.7,-13.6
0BP20031,48,3.08,H2CO,-6.3,-5.1,2.9,-4.1,17.4,15.4
0BP20041,49,2.671,H2CO,-35,-31,-15.1,-4.1,16.5,8.5
0BP16051,50,2.082,H2CO,-38.3,-35.3,-20.3,-35.9,-12.5,-12.5
0BP19011,51,3.394,H2CO,-38.7,-35.1,-16,-38.6,-16.3,-17.2
0BN18011,52,1.729,H2CO,0.9,1.4,12.4,-40.4,-17.3,-14.2
0BN16021,53,3.539,H2CO,0.4,0.5,12.2,2.1,22,17
0BP17021,54,3.187,H2CO,-38.6,-35,-23.2,3.6,23.1,18.9
0BN15011,55,3.32,H2CO,-15.7,-11.6,4.4,-43.1,-20.2,-24.4
0BN10021,56,2.55,H2CO,-43.5,-39.5,-23.6,-18.8,4.6,4.7
0BN19011,57,4.703,H2CO,-50.2,-46.7,-32.1,-45.4,-22.1,-22.2
0BP09021,58,1.756,H2CO,-18.1,-16.1,-1,-52.6,-29.8,-31.1
0BN09011,59,2.493,H2CO,-36.4,-32.4,-16.6,-18.1,3.3,2.5
0BN11021,60,3.056,H2CO,-40.3,-36.4,-21,-39,-15.7,-15.9
0BN11022,61,3.075,H2CO,-34.4,-30.5,-13.9,-40.7,-17.4,-18
0BP19021,62,2.563,H2CO,-36.7,-33.4,-22.2,-34.2,-11,-10.4
0BP18011,63,2.868,H2CO,-6.2,-4.9,5.1,-38.6,-15.8,-20.6
