FLPID,OLD ID,LA-LB distance (A),H2O,E_H2O,H_H2O,G_H2O,E_H2O_sol,H_H2O_sol,G_H2O_sol
0BP06011,1,6.247,H2O,-17.9,-15.6,-3.6,-16.7,1.4,-0.5
0BP07011,2,2.217,H2O,-16.6,-16.4,-5.4,-18.6,-2.5,-5.3
0BN08011,3,3.518,H2O,-40.9,-38.2,-25.1,-41.7,-23.1,-23.9
0BP08011,4,1.807,H2O,-38.9,-38.1,-24.6,-37.1,-20.3,-20.7
0BP08012,5,1.79,H2O,-41.7,-41,-27.8,-39.6,-23.1,-23.7
0BN03011,7,2.991,H2O,-23.7,-22.2,-9.4,-24.5,-7.5,-12.1
0BN12011,8,1.758,H2O,-25.6,-23.7,-13.2,-22,-4.6,-5.6
0BN17011,9,3.008,H2O,-38.1,-35.2,-22.9,-25.6,-7.8,-11.2
0BN17012,10,2.978,H2O,-28.9,-26,-13.4,-38.5,-19.8,-21.3
0BN17013,11,3.011,H2O,-38.9,-35.6,-23.6,-30.5,-11.6,-12.9
0BN17014,12,2.912,H2O,-32.6,-29.3,-16.1,-42.6,-23.5,-25.3
0BN17015,13,2.96,H2O,-37.9,-35,-23.2,-34.8,-15.6,-16.2
0BN17016,14,1.725,H2O,-20.8,-18.8,-8.1,-40,-21.2,-23.2
0BN17017,15,1.753,H2O,-29.1,-26.1,-15.4,-21,-3.1,-6.3
0BP13011,16,3.462,H2O,-31.7,-30.8,-18,-30.2,-11.4,-14.6
0BP12011,17,2.152,H2O,-21.5,-20.5,-11.7,-32.7,-15.9,-16.9
0BP16011,18,2.173,H2O,-34,-33.1,-20.9,-22,-5.2,-10.2
0BN10011,19,2.355,H2O,-39.6,-37,-23.1,-33.8,-17,-18.7
0BP15031,20,3.463,H2O,-24.9,-24.2,-10.4,-38,-19.6,-19.5
0BP15032,21,2.229,H2O,-17.6,-16.6,-5.9,-26.3,-9.6,-9.6
0BP16031,22,2.049,H2O,0.7,2.1,11.9,-21.8,-4.9,-8
0BP16032,23,2.008,H2O,-3.1,-2.2,8.2,2.5,19.8,15.8
0BN16011,24,1.713,H2O,-16,-15.3,-7,-0.3,16.5,13.1
0BN16012,25,1.728,H2O,-14.9,-14.9,-7.1,-16.5,0.1,-5.4
0BP09011,26,2.082,H2O,-7.1,-7,-1.1,-15,0.9,-5.1
0BP09012,27,2.171,H2O,-28.4,-27.6,-16.9,-9.3,6.8,-1.2
0BP09013,28,2.104,H2O,-26.3,-26,-15.9,-28.8,-12,-15.3
0BP09014,29,2.149,H2O,-21.3,-20.7,-10.6,-25.7,-9.5,-13.3
0BP16021,30,2.121,H2O,-9.4,-9.2,0.2,-21.3,-4.9,-8.6
0BP16022,31,2.142,H2O,-15,-14.4,-4.7,-10.3,5.7,1.4
0BP16023,32,2.095,H2O,-14.7,-14.4,-4.9,-13,3.5,-0.7
0BN11031,33,3.258,H2O,-32.3,-30.1,-19.7,-11.9,4.3,0
0BN14011,34,3.508,H2O,-37.1,-34.8,-22,-32.4,-14.3,-17.8
0BN14012,35,3.247,H2O,-39.2,-36.6,-24.1,-37.4,-19.1,-20.2
0BN14013,36,3.25,H2O,-41.2,-38.4,-25.5,-40.3,-21.8,-23.1
0BN14014,37,3.119,H2O,-34.2,-32.1,-18.1,-42.7,-24,-24.9
0BN14015,38,3.778,H2O,-37.3,-34.6,-23.3,-34.6,-16.5,-16.4
0BN14016,39,3.462,H2O,-31.9,-29.6,-17.8,-37.9,-19.3,-21.8
0BN15021,40,3.344,H2O,-27.5,-25.3,-12.9,-31.4,-13.3,-15.3
0PN12011,41,1.869,H2O,-25.6,-22.9,-11,-28.6,-10.5,-11.9
0AN13011,42,3.435,H2O,-19.1,-17.2,-4.2,-5,13.6,11.7
0BN18021,43,2.864,H2O,-28.6,-26.3,-15.1,-17.9,0,-0.9
0BP14011,44,3.253,H2O,-8,-6.7,2.7,-29.1,-10.9,-13.6
0BP13021,45,2.028,H2O,-8.2,-6.6,6.6,-6.7,10.5,6.1
0BP13022,46,2.019,H2O,-6.9,-5.4,5.3,-5.1,12.3,11.7
0BP17011,47,3.846,H2O,-8.9,-7.6,2.8,-4,13.4,10.3
0BP20031,48,3.08,H2O,-4.7,-3.5,4.3,-8.4,8.8,5.3
0BP20041,49,2.671,H2O,-18.1,-15.4,-1.9,-2.8,14.3,8.3
0BP16051,50,2.082,H2O,-14.2,-13.3,-0.3,-15.5,3.2,2.8
0BP19011,51,3.394,H2O,-15.8,-13.3,2.4,-11.9,4.8,4
0BN18011,52,1.729,H2O,-24.3,-22.9,-12.8,-13.4,5,6.9
