xyz_path,smiles,error
data\raw\xyz\1\1.xyz,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)c2c(F)c(F)c(B(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)c(F)c2F)c(C)c1,
data\raw\xyz\1\1CH3OH.xyz,CO.Cc1cc(C)c(P(c2c(C)cc(C)cc2C)c2c(F)c(F)c(B(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)c(F)c2F)c(C)c1,
data\raw\xyz\1\1CO2.xyz,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)c2c(F)c(F)c(B(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)c(F)c2F)c(C)c1.O=C=O,
data\raw\xyz\1\1H2.xyz,,RDKit could not parse SMILES: c1(c(c(c(c(c1[PH](c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C)F)F)[BH](c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F)F)F
data\raw\xyz\1\1H2CO.xyz,,RDKit could not parse SMILES: c1(c(c(c(c(c1P(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C)F)F)[B](c1c(c(c(c(c1F)F)F)F)F)(c1c(c(c(c(c1F)F)F)F)F)O[CH2])F)F
data\raw\xyz\1\1H2O.xyz,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)c2c(F)c(F)c(B(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)c(F)c2F)c(C)c1.O,
data\raw\xyz\1\1HCOOH.xyz,,RDKit could not parse SMILES: c1(c(c(c(c(c1P(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C)F)F)[B](c1c(c(c(c(c1F)F)F)F)F)(c1c(c(c(c(c1F)F)F)F)F)O[CH]O)F)F
data\raw\xyz\10\10.xyz,Bc1ccccc1N1C(C)(C)CCCC1(C)C,
data\raw\xyz\10\10CH3OH.xyz,,RDKit could not parse SMILES: c1(ccccc1[NH]1C(CCCC1(C)C)(C)C)[BH2]OC
data\raw\xyz\10\10CO2.xyz,,RDKit could not parse SMILES: c12ccccc1[N]1(C(CCCC1(C)C)(C)C)C(=O)O[BH2]2
data\raw\xyz\10\10H2.xyz,,RDKit could not parse SMILES: c1(ccccc1[NH]1C(CCCC1(C)C)(C)C)[BH3]
data\raw\xyz\10\10H2CO.xyz,,RDKit could not parse SMILES: c1(ccccc1N1C(CCCC1(C)C)(C)C)[BH2]O[CH2]
data\raw\xyz\10\10H2O.xyz,,RDKit could not parse SMILES: c1(ccccc1[NH]1C(CCCC1(C)C)(C)C)[BH2]O
data\raw\xyz\10\10HCOOH.xyz,,RDKit could not parse SMILES: c1(ccccc1[NH]1C(CCCC1(C)C)(C)C)[BH2]OC=O
data\raw\xyz\103\103.xyz,Cc1cc(C)c(B2c3cccc4cccc(c34)P2c2c(C)cc(C)cc2C)c(C)c1,
data\raw\xyz\103\103CH3OH.xyz,COB(c1c(C)cc(C)cc1C)c1cccc2cccc(Pc3c(C)cc(C)cc3C)c12,
data\raw\xyz\103\103CO2.xyz,Cc1cc(C)c(B2OC(=O)P(c3c(C)cc(C)cc3C)c3cccc4cccc2c34)c(C)c1,
data\raw\xyz\103\103H2.xyz,Cc1cc(C)c(Bc2cccc3cccc(Pc4c(C)cc(C)cc4C)c23)c(C)c1,
data\raw\xyz\103\103H2CO.xyz,Cc1cc(C)c(B2OCP(c3c(C)cc(C)cc3C)c3cccc4cccc2c34)c(C)c1,
data\raw\xyz\103\103H2O.xyz,Cc1cc(C)c(Pc2cccc3cccc(B(O)c4c(C)cc(C)cc4C)c23)c(C)c1,
data\raw\xyz\103\103HCOOH.xyz,Cc1cc(C)c(Pc2cccc3cccc(B(OC=O)c4c(C)cc(C)cc4C)c23)c(C)c1,
data\raw\xyz\104\104.xyz,Cc1cccc(C)c1B1c2cccc3cccc(c23)P1c1c(C)cccc1C,
data\raw\xyz\104\104CH3OH.xyz,COB(c1c(C)cccc1C)c1cccc2cccc(Pc3c(C)cccc3C)c12,
data\raw\xyz\104\104CO2.xyz,Cc1cccc(C)c1B1OC(=O)P(c2c(C)cccc2C)c2cccc3cccc1c23,
data\raw\xyz\104\104H2.xyz,Cc1cccc(C)c1Bc1cccc2cccc(Pc3c(C)cccc3C)c12,
data\raw\xyz\104\104H2CO.xyz,Cc1cccc(C)c1B1OCP(c2c(C)cccc2C)c2cccc3cccc1c23,
data\raw\xyz\104\104H2O.xyz,Cc1cccc(C)c1Pc1cccc2cccc(B(O)c3c(C)cccc3C)c12,
data\raw\xyz\104\104HCOOH.xyz,Cc1cccc(C)c1Pc1cccc2cccc(B(OC=O)c3c(C)cccc3C)c12,
data\raw\xyz\105\105.xyz,,RDKit could not parse SMILES: [P]1([B](c2c3c1cccc3ccc2)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C)(C(C)C)C(C)C
data\raw\xyz\105\105CH3OH.xyz,CO.Cc1cc(C)c(B(c2c(C)cc(C)cc2C)c2cccc3cccc(P(C(C)C)C(C)C)c23)c(C)c1,
data\raw\xyz\105\105CO2.xyz,,RDKit could not parse SMILES: [P]1(c2c3c([B](c4c(cc(cc4C)C)C)(c4c(cc(cc4C)C)C)OC1=O)cccc3ccc2)(C(C)C)C(C)C
data\raw\xyz\105\105H2.xyz,,RDKit could not parse SMILES: [PH](c1c2c([BH](c3c(cc(cc3C)C)C)c3c(cc(cc3C)C)C)cccc2ccc1)(C(C)C)C(C)C
data\raw\xyz\105\105H2CO.xyz,,RDKit could not parse SMILES: [P]1(c2c3c([B](c4c(cc(cc4C)C)C)(c4c(cc(cc4C)C)C)OC1)cccc3ccc2)(C(C)C)C(C)C
data\raw\xyz\105\105H2O.xyz,Cc1cc(C)c(B(c2c(C)cc(C)cc2C)c2cccc3cccc(P(C(C)C)C(C)C)c23)c(C)c1.O,
data\raw\xyz\105\105HCOOH.xyz,,RDKit could not parse SMILES: [PH](c1c2c([B](c3c(cc(cc3C)C)C)(c3c(cc(cc3C)C)C)OC=O)cccc2ccc1)(C(C)C)C(C)C
data\raw\xyz\106\106.xyz,,RDKit could not parse SMILES: c12cccc3cccc(c13)[B]([P]2(C(C)C)C(C)C)(C1CCCCC1)C1CCCCC1
data\raw\xyz\106\106CH3OH.xyz,CC(C)P(c1cccc2cccc(B(C3CCCCC3)C3CCCCC3)c12)C(C)C.CO,
data\raw\xyz\106\106CO2.xyz,,RDKit could not parse SMILES: c12cccc3cccc(c13)[B](C1CCCCC1)(C1CCCCC1)OC(=O)[P]2(C(C)C)C(C)C
data\raw\xyz\106\106H2.xyz,,RDKit could not parse SMILES: c1(cccc2cccc(c12)[BH](C1CCCCC1)C1CCCCC1)[PH](C(C)C)C(C)C
data\raw\xyz\106\106H2CO.xyz,,RDKit could not parse SMILES: c12cccc3cccc(c13)[B](C1CCCCC1)(C1CCCCC1)OC[P]2(C(C)C)C(C)C
data\raw\xyz\106\106H2O.xyz,CC(C)P(c1cccc2cccc(B(C3CCCCC3)C3CCCCC3)c12)C(C)C.O,
data\raw\xyz\106\106HCOOH.xyz,,RDKit could not parse SMILES: c1(cccc2cccc(c12)[B](C1CCCCC1)(C1CCCCC1)OC=O)[PH](C(C)C)C(C)C
data\raw\xyz\107\107.xyz,,RDKit could not parse SMILES: c12cccc3cccc(c13)[B]1(c3ccccc3-c3ccccc13)[P]2(C(C)C)C(C)C
data\raw\xyz\107\107CH3OH.xyz,CC(C)P(c1cccc2cccc(B3c4ccccc4-c4ccccc43)c12)C(C)C.CO,
data\raw\xyz\107\107CO2.xyz,,RDKit could not parse SMILES: c12cccc3cccc(c13)[B]1(c3ccccc3-c3ccccc13)OC(=O)[P]2(C(C)C)C(C)C
data\raw\xyz\107\107H2.xyz,,RDKit could not parse SMILES: c1(cccc2cccc(c12)[BH]1c2ccccc2-c2ccccc12)[PH](C(C)C)C(C)C
data\raw\xyz\107\107H2CO.xyz,,RDKit could not parse SMILES: c12cccc3cccc(c13)[B]1(c3ccccc3-c3ccccc13)OC[P]2(C(C)C)C(C)C
data\raw\xyz\107\107H2O.xyz,CC(C)P(c1cccc2cccc(B3c4ccccc4-c4ccccc43)c12)C(C)C.O,
data\raw\xyz\107\107HCOOH.xyz,,RDKit could not parse SMILES: c1(cccc2cccc(c12)[B]1(c2ccccc2-c2ccccc12)OC=O)[PH](C(C)C)C(C)C
data\raw\xyz\108\108.xyz,,RDKit could not parse SMILES: [B]1(c2c3c(cccc3ccc2)[P]1(c1ccccc1)c1ccccc1)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C
data\raw\xyz\108\108CH3OH.xyz,CO.Cc1cc(C)c(B(c2c(C)cc(C)cc2C)c2cccc3cccc(P(c4ccccc4)c4ccccc4)c23)c(C)c1,
data\raw\xyz\108\108CO2.xyz,,RDKit could not parse SMILES: [B]1(c2c3c(cccc3ccc2)[P](c2ccccc2)(c2ccccc2)C(=O)O1)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C
