flp_id,energy_complex_Eh,xyz_path_complex,smiles_complex,energy_flp_Eh,E_CO2_Eh,binding_energy_Eh,binding_energy_kJmol
1,-168.58002978,data\raw\xyz\1\1CO2.xyz,c1(c(c(c(c(c1P(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C)F)F)B(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F)F)F.O=C=O,-158.26546325,-10.3078989,-0.006667629999981273,-17.50586003125143
10,-58.82593927,data\raw\xyz\10\10CO2.xyz,c12ccccc1[N]1(C(CCCC1(C)C)(C)C)C(=O)O[BH2]2,-48.5226073,-10.3078989,0.00456692999999575,11.990472979555442
103,-88.31430026,data\raw\xyz\103\103CO2.xyz,P1(c2cccc3cccc(B(c4c(cc(cc4C)C)C)OC1=O)c23)c1c(cc(cc1C)C)C,-77.99651161,-10.3078989,-0.009889749999999253,-25.96553486689304
104,-81.97226177,data\raw\xyz\104\104CO2.xyz,P1(c2cccc3cccc(B(c4c(cccc4C)C)OC1=O)c23)c1c(cccc1C)C,-71.65510009,-10.3078989,-0.009262780000000248,-24.319425370144252
105,-108.26762248,data\raw\xyz\105\105CO2.xyz,[P]1(c2c3c([B](c4c(cc(cc4C)C)C)(c4c(cc(cc4C)C)C)OC1=O)cccc3ccc2)(C(C)C)C(C)C,-97.98479697,-10.3078989,0.02507339000000286,65.8301759171193
106,-95.45514767,data\raw\xyz\106\106CO2.xyz,c12cccc3cccc(c13)[B](C1CCCCC1)(C1CCCCC1)OC(=O)[P]2(C(C)C)C(C)C,-85.1710791,-10.3078989,0.02383032999999557,62.56652235946297
107,-88.26036627,data\raw\xyz\107\107CO2.xyz,c12cccc3cccc(c13)[B]1(c3ccccc3-c3ccccc13)OC(=O)[P]2(C(C)C)C(C)C,-77.99234912,-10.3078989,0.039881749999992167,104.70951946991444
108,-119.05611595,data\raw\xyz\108\108CO2.xyz,[B]1(c2c3c(cccc3ccc2)[P](c2ccccc2)(c2ccccc2)C(=O)O1)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,-108.77087002,-10.3078989,0.022652969999995776,59.47536412686031
109,-124.37457507,data\raw\xyz\109\109CO2.xyz,[B]1(c2c3c(ccc4c3c(cc2)CC4)[P](c2ccccc2)(c2ccccc2)C(=O)O1)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,-114.08983704,-10.3078989,0.023160869999998113,60.80885538386445
11,-66.98136077,data\raw\xyz\11\11CO2.xyz,c12ccccc1[N]1(C(CCCC1(C)C)(C)C)C(=O)O[B]2(Cl)Cl,-56.68510462,-10.3078989,0.01164275000000714,30.56803570077375
111,-123.27770943,data\raw\xyz\111\111CO2.xyz,[P]1(c2ccccc2)(c2c3-c4c(cccc4-c3ccc2)[B](c2c(cc(cc2C)C)C)(c2c(cc(cc2C)C)C)OC1=O)c1ccccc1,-112.98592892,-10.3078989,0.01611839000000259,42.31882682001861
112,-165.53939066,data\raw\xyz\112\112CO2.xyz,[P]1(c2cccc3-c4cccc(c4-c23)[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)OC1=O)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,-155.19850967,-10.3078989,-0.032982090000018616,-86.59446476185468
113,-115.67548631,data\raw\xyz\113\113CO2.xyz,[P]1(c2ccccc2[B](c2c(cc(cc2C)C)C)(c2c(cc(cc2C)C)C)OC1=O)(C1CCCCC1)C1CCCCC1,-105.36899384,-10.3078989,0.0014064300000029561,3.6925814305643616
114,-118.0854359,data\raw\xyz\114\114CO2.xyz,[B]1([C@H]2[C@H]([N]3(CCCCC3)C(=O)O1)CCC2)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,-107.74516698,-10.3078989,-0.03237002000000189,-84.98747520939736
115,,data\raw\xyz\115\115CO2.xyz,c1cc2c(cc1)[N](C)(C)C(=O)O[BH2]2,-27.3887485,-10.3078989,,
12,-62.90800424,data\raw\xyz\12\12CO2.xyz,c12ccccc1[N]1(C(CCCC1(C)C)(C)C)C(=O)O[B@H]2Cl,-52.60968889,-10.3078989,0.009583550000002106,25.16160688325653
120,-125.40046122,data\raw\xyz\120\120CO2.xyz,N1(CCCB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)C(CCCC1(C)C)(C)C.O=C=O,-115.08566456,-10.3078989,-0.006897760000001085,-18.11006625885405
122,-75.22662193,data\raw\xyz\122\122CO2.xyz,[P]1(c2c([B](OC)(OC)OC1=O)cccc2)(c1ccccc1)c1ccccc1,-64.93225729,-10.3078989,0.013534260000000131,35.53419448698155
