xyz_path,filename,smiles,error,flp_id,energy_Eh,homo_eV,lumo_eV,gap_eV
data\raw\xyz\1\1CO2.xyz,1CO2.xyz,c1(c(c(c(c(c1P(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C)F)F)B(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F)F)F.O=C=O,,1,-168.58002978,-10.2244,-9.4874,0.73702972
data\raw\xyz\10\10CO2.xyz,10CO2.xyz,c12ccccc1[N]1(C(CCCC1(C)C)(C)C)C(=O)O[BH2]2,,10,-58.82593927,-9.6809,-6.1072,3.57364202
data\raw\xyz\103\103CO2.xyz,103CO2.xyz,P1(c2cccc3cccc(B(c4c(cc(cc4C)C)C)OC1=O)c23)c1c(cc(cc1C)C)C,,103,-88.31430026,-9.8979,-7.7048,2.1931319
data\raw\xyz\104\104CO2.xyz,104CO2.xyz,P1(c2cccc3cccc(B(c4c(cccc4C)C)OC1=O)c23)c1c(cccc1C)C,,104,-81.97226177,-9.9944,-7.7918,2.20262381
data\raw\xyz\105\105CO2.xyz,105CO2.xyz,[P]1(c2c3c([B](c4c(cc(cc4C)C)C)(c4c(cc(cc4C)C)C)OC1=O)cccc3ccc2)(C(C)C)C(C)C,,105,-108.26762248,-9.3024,-7.5483,1.75410622
data\raw\xyz\106\106CO2.xyz,106CO2.xyz,c12cccc3cccc(c13)[B](C1CCCCC1)(C1CCCCC1)OC(=O)[P]2(C(C)C)C(C)C,,106,-95.45514767,-9.3277,-7.4642,1.86352766
data\raw\xyz\107\107CO2.xyz,107CO2.xyz,c12cccc3cccc(c13)[B]1(c3ccccc3-c3ccccc13)OC(=O)[P]2(C(C)C)C(C)C,,107,-88.26036627,-9.3938,-7.5918,1.80201781
data\raw\xyz\108\108CO2.xyz,108CO2.xyz,[B]1(c2c3c(cccc3ccc2)[P](c2ccccc2)(c2ccccc2)C(=O)O1)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,,108,-119.05611595,-9.2966,-7.6842,1.61233103
data\raw\xyz\109\109CO2.xyz,109CO2.xyz,[B]1(c2c3c(ccc4c3c(cc2)CC4)[P](c2ccccc2)(c2ccccc2)C(=O)O1)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,,109,-124.37457507,-9.2207,-7.5189,1.70181216
data\raw\xyz\11\11CO2.xyz,11CO2.xyz,c12ccccc1[N]1(C(CCCC1(C)C)(C)C)C(=O)O[B]2(Cl)Cl,,11,-66.98136077,-10.2697,-6.9121,3.35761287
data\raw\xyz\111\111CO2.xyz,111CO2.xyz,[P]1(c2ccccc2)(c2c3-c4c(cccc4-c3ccc2)[B](c2c(cc(cc2C)C)C)(c2c(cc(cc2C)C)C)OC1=O)c1ccccc1,,111,-123.27770943,-9.1705,-7.4884,1.68218533
data\raw\xyz\112\112CO2.xyz,112CO2.xyz,[P]1(c2cccc3-c4cccc(c4-c23)[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)OC1=O)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,,112,-165.53939066,-10.4229,-7.7836,2.63935106
data\raw\xyz\113\113CO2.xyz,113CO2.xyz,[P]1(c2ccccc2[B](c2c(cc(cc2C)C)C)(c2c(cc(cc2C)C)C)OC1=O)(C1CCCCC1)C1CCCCC1,,113,-115.67548631,-9.4268,-6.9524,2.47442382
data\raw\xyz\114\114CO2.xyz,114CO2.xyz,[B]1([C@H]2[C@H]([N]3(CCCCC3)C(=O)O1)CCC2)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,,114,-118.0854359,-11.4567,-7.4958,3.96088182
data\raw\xyz\115\115CO2.xyz,115CO2.xyz,c1cc2c(cc1)[N](C)(C)C(=O)O[BH2]2,,115,,,,
data\raw\xyz\12\12CO2.xyz,12CO2.xyz,c12ccccc1[N]1(C(CCCC1(C)C)(C)C)C(=O)O[B@H]2Cl,,12,-62.90800424,-9.734,-6.5619,3.17207318
data\raw\xyz\120\120CO2.xyz,120CO2.xyz,N1(CCCB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)C(CCCC1(C)C)(C)C.O=C=O,,120,-125.40046122,-9.5141,-9.155,0.35913818
data\raw\xyz\122\122CO2.xyz,122CO2.xyz,[P]1(c2c([B](OC)(OC)OC1=O)cccc2)(c1ccccc1)c1ccccc1,,122,-75.22662193,-9.9632,-7.3928,2.57037225
data\raw\xyz\123\123CO2.xyz,123CO2.xyz,P(c1c(B2OC(C(O2)(C)C)(C)C)cccc1)(c1ccccc1)c1ccccc1.O=C=O,,123,-86.92368163,-9.6667,-6.6519,3.01473139
data\raw\xyz\124\124CO2.xyz,124CO2.xyz,P(c1c(B2OCC(CO2)(C)C)cccc1)(c1ccccc1)c1ccccc1.O=C=O,,124,-83.75225455,-9.691,-6.5292,3.1617825
data\raw\xyz\125\125CO2.xyz,125CO2.xyz,[P]1(c2c([B](OC)(OC)OC1=O)cccc2)(C(C)C)C(C)C,,125,-64.44565157,-9.7065,-6.9686,2.7379536
data\raw\xyz\126\126CO2.xyz,126CO2.xyz,P(c1c(b2oc3c(o2)cccc3)cccc1)(C(C)C)C(C)C.O=C=O,,126,-72.04269596,-9.6537,-6.8398,2.81397766
data\raw\xyz\127\127CO2.xyz,127CO2.xyz,[P]1(c2c([B]3(OC(C(O3)(C)C)(C)C)OC1=O)cccc2)(C(C)C)C(C)C,,127,-76.11868036,-9.7874,-6.9591,2.82826295
data\raw\xyz\129\129CO2.xyz,129CO2.xyz,Cc1cc(C)cc(c1[B]1(c2c(C)cc(C)cc2C)c2c([N](C)(C)C(=O)O1)cccc2)C,,129,-86.45578195,-9.5014,-6.5018,2.99962393
data\raw\xyz\13\13CO2.xyz,13CO2.xyz,c12ccccc1[N]1(C(CCCC1(C)C)(C)C)C(=O)O[B@]2(c1c(F)c(F)c(F)c(F)c1F)Cl,,13,-98.88722406,-10.3451,-7.289,3.05608348
data\raw\xyz\130\130CO2.xyz,130CO2.xyz,Cc1cc(C)c(C)cc1B(c1c(C)cc(C)c(C)c1)c1c(N(C)C)cccc1.O=C=O,,130,-86.46042821,-9.3564,-7.0983,2.25817196
data\raw\xyz\131\131CO2.xyz,131CO2.xyz,[P]1(CC(=CC[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(c(c(c(c2F)F)F)F)F)OC1=O)C)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,,131,-151.58979968,-10.4179,-7.7148,2.70308773
data\raw\xyz\132\132CO2.xyz,132CO2.xyz,[P]1(CC(=CC[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(c(c(c(c2F)F)F)F)F)OC1=O)C)(C(C)(C)C)C(C)(C)C,,132,-128.12623782,-10.5791,-7.6241,2.95498298
data\raw\xyz\133\133CO2.xyz,133CO2.xyz,[P]1(CC(=CC[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(c(c(c(c2F)F)F)F)F)OC1=O)C)(c1ccccc1)c1ccccc1,,133,-132.57559834,-10.8233,-7.8842,2.93909041
data\raw\xyz\134\134CO2.xyz,134CO2.xyz,[B]1(C[C]2C=CC=C(C)N2C(=O)O1)(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F,,134,-106.53915503,-11.7984,-9.295,2.50335142
data\raw\xyz\135\135CO2.xyz,135CO2.xyz,[B]1(C[C]2C=CC=CN2C(=O)O1)(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F,,135,-103.36489998,-11.8337,-9.5749,2.25877295
data\raw\xyz\136\136CO2.xyz,136CO2.xyz,[B]1(C[C]2C=C(C=C(C)N2C(=O)O1)N(C)C)(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F,,136,-116.32579429,-11.3705,-8.339,3.03154801
data\raw\xyz\137\137CO2.xyz,137CO2.xyz,[B]1(C[C]2C=C(C=C(C)N2C(=O)O1)N1CCCCC1)(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F,,137,-124.81097142,-11.2901,-8.3057,2.98434312
data\raw\xyz\138\138CO2.xyz,138CO2.xyz,[B]1(c2c(c(c(c(c2F)F)F)F)F)(c2c(c(c(c(c2F)F)F)F)F)CCCC[C]2C=CC=C(C)N2C(=O)O1,,138,-116.01396736,-10.7858,-9.3586,1.42724637
data\raw\xyz\139\139CO2.xyz,139CO2.xyz,B(c1c(c(c(c(c1F)F)F)F)F)(c1c(c(c(c(c1F)F)F)F)F)CCCCC1=[N]=C([CH]C=C1)C(C)(C)C.O=C=O,,139,-125.48183011,-9.9434,-9.3702,0.57322763
data\raw\xyz\14\14CO2.xyz,14CO2.xyz,c12ccccc1[N](C)(C)C(=O)O[B@@H]2c1c(F)c(F)c(F)c(F)c1F,,14,-73.69330396,-11.0147,-7.1472,3.86749724
data\raw\xyz\140\140CO2.xyz,140CO2.xyz,P(c1ccc([C@H]2[C@H](B(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)[C@H]3CC[C@@]2(C3(C)C)C)cc1)(C(C)(C)C)C(C)(C)C.O=C=O,,140,-157.84342272,-9.6645,-8.8909,0.77361494
data\raw\xyz\141\141CO2.xyz,141CO2.xyz,[C@]12([C@@H]([C@H]([C@@H](CC1)C2(C)C)B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)N1CCCCC1)C.O=C=O,,141,-132.86618939,-9.7324,-9.0714,0.66100237
data\raw\xyz\148\148CO2.xyz,148CO2.xyz,[P]1(C(=C([B](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)OC1=O)c1c(F)c(F)c(F)c(F)c1F)c1ccccc1)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,,148,-192.98479692,-11.2531,-8.4374,2.81573662
data\raw\xyz\149\149CO2.xyz,149CO2.xyz,C1(=C(c2c(F)c(F)c(F)c(F)c2F)[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)OC(=O)[P]1(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C)c1ccc(cc1)C,,149,-196.15301664,-11.0947,-8.3116,2.78309808
data\raw\xyz\15\15CO2.xyz,15CO2.xyz,c12ccccc1[N](C)(C)C(=O)O[B]2(Cl)Cl,,15,-45.85625637,-10.5569,-7.3455,3.21138355
data\raw\xyz\150\150CO2.xyz,150CO2.xyz,C1(=C(c2c(F)c(F)c(F)c(F)c2F)[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)OC(=O)[P]1(c1ccccc1)c1ccccc1)C,,150,-162.23380945,-11.5305,-8.4587,3.07178902
data\raw\xyz\151\151CO2.xyz,151CO2.xyz,C1(=C(c2c(F)c(F)c(F)c(F)c2F)[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)OC(=O)[P]1(c1ccccc1)c1ccccc1)CCC,,151,-168.57399118,-11.5057,-8.2881,3.21764119
data\raw\xyz\152\152CO2.xyz,152CO2.xyz,[P]1([C@@H](CC)[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)OC1=O)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,,152,-169.46422639,-12.2351,-9.7555,2.47952696
data\raw\xyz\153\153CO2.xyz,153CO2.xyz,[P]1([C@@H](C[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)OC1=O)C)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,,153,-169.45923966,-11.9398,-9.8825,2.05728834
data\raw\xyz\154\154CO2.xyz,154CO2.xyz,[P](C(C)(C)C)(CC[B](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)OC(=O)c1c(F)c(F)c(F)c(F)c1F)(C(C)(C)C)C(C)(C)C,,154,-169.31079164,-11.0866,-8.228,2.85858964
data\raw\xyz\155\155CO2.xyz,155CO2.xyz,[P](C(C)(C)C)([C@H](C[B](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)Oc1c(F)c(F)c(F)c(F)c1F)C)(C(C)(C)C)C(C)(C)C.O=[C],,155,-172.37631269,-10.5409,-7.3284,3.21250975
data\raw\xyz\156\156CO2.xyz,156CO2.xyz,[P]([C@@H](C[B](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(c1F)F)Oc1c(F)c(F)c(F)c(F)c1F)CCCC)(C(C)(C)C)(C(C)(C)C)C(C)(C)C.O=[C],,156,-181.86380767,-10.592,-7.2516,3.34034171
data\raw\xyz\157\157CO2.xyz,157CO2.xyz,[CH]=C/C=C\[CH].[C]=C[C][C],,157,,,,
data\raw\xyz\16\16CO2.xyz,16CO2.xyz,[P]1([C@H]2[C@H]([B](c3c(c(c(c(c3F)F)F)F)F)(c3c(c(c(c(c3F)F)F)F)F)OC1=O)[C@H]1CC[C@@H]2C1)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,,16,-156.94232884,-10.8234,-7.4862,3.33721355
data\raw\xyz\17\17CO2.xyz,17CO2.xyz,[C@H]12CCCC[C@@H]1[B](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)OC(=O)[P]2(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,,17,-154.79831208,-10.8133,-7.4222,3.39112767
data\raw\xyz\18\18CO2.xyz,18CO2.xyz,[C@@H]12[C@H](CCC1)[B](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)OC(=O)[P]2(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,,18,-151.62474753,-10.8968,-7.6042,3.29254949
data\raw\xyz\19\19CO2.xyz,19CO2.xyz,[B]1(N2N([C](C=C2C(C)(C)C)C(C)(C)C)C(=O)O1)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,,19,-123.70848832,-12.1246,-8.2825,3.84210188
data\raw\xyz\2\2CO2.xyz,2CO2.xyz,[P]1(CC[B](c2c(c(c(c(c2F)F)F)F)F)(c2c(c(c(c(c2F)F)F)F)F)OC1=O)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,,2,-143.14859766,-10.906,-7.6092,3.29683349
data\raw\xyz\20\20CO2.xyz,20CO2.xyz,C1/C(=C\C)/[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)OC(=O)[P]1(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,,20,-148.42926567,-10.8718,-7.5899,3.2819332
data\raw\xyz\21\21CO2.xyz,21CO2.xyz,C1/C(=C\[Si](C)(C)C)/[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)OC(=O)[P]1(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,,21,-157.48483984,-10.4315,-7.5004,2.93113841
data\raw\xyz\22\22CO2.xyz,22CO2.xyz,[B]1(CCC[P@@](CCCB(c2c(c(c(c(c2F)F)F)F)F)c2c(c(c(c(c2F)F)F)F)F)(c2ccccc2)C(=O)O1)(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F,,22,-195.5880277,-11.2284,-9.9811,1.24738404
data\raw\xyz\23\23CO2.xyz,23CO2.xyz,[P@]1(CCC[B](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)OC1=O)(CCCB(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)C(C)(C)C,,23,-193.36698361,-11.1571,-9.8557,1.30141969
data\raw\xyz\24\24CO2.xyz,24CO2.xyz,Fc1c(c(F)c(F)c(F)c1F)B(CCCN(C)c1ccccc1)c1c(F)c(F)c(F)c(F)c1F.O=C=O,,24,-115.97369091,-9.9578,-9.2325,0.72526626
data\raw\xyz\25\25CO2.xyz,25CO2.xyz,Fc1c(c(F)c(F)c(F)c1F)[B]1(CCC[N](CCCB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)(c2ccccc2)C(=O)O1)c1c(F)c(F)c(F)c(F)c1F,,25,-195.99112232,-11.4115,-9.8482,1.5633829
