xyz_path,filename,smiles,error,flp_id,energy_Eh,homo_eV,lumo_eV,gap_eV,Sterimol_L,Sterimol_B1,Sterimol_B5
data\raw\xyz\1\1.xyz,1.xyz,c1(c(c(c(c(c1P(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C)F)F)B(c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F)F)F,,1,-158.26546325,-10.2385,-9.4958,0.74264342,9.391681872726654,4.015971024995162,7.663484533682629
data\raw\xyz\10\10.xyz,10.xyz,c1(ccccc1N1C(CCCC1(C)C)(C)C)B,,10,-48.5226073,-8.8769,-7.3528,1.52409009,4.721954099356051,2.872468650983228,5.29084295762928
data\raw\xyz\103\103.xyz,103.xyz,P1(B(c2cccc3cccc1c23)c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,,103,-77.99651161,-9.2569,-7.6737,1.58320383,7.879349440854763,3.4337757588715725,7.607485512605139
data\raw\xyz\104\104.xyz,104.xyz,P1(B(c2cccc3cccc1c23)c1c(cccc1C)C)c1c(cccc1C)C,,104,-71.65510009,-9.3736,-7.7531,1.62047104,6.58912986165722,3.443199153078261,6.784774277513007
data\raw\xyz\105\105.xyz,105.xyz,[P]1([B](c2c3c1cccc3ccc2)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C)(C(C)C)C(C)C,,105,-97.98479697,-9.408,-7.0178,2.39015216,7.584064053554819,4.729355216681192,7.674196018306254
data\raw\xyz\106\106.xyz,106.xyz,c12cccc3cccc(c13)[B]([P]2(C(C)C)C(C)C)(C1CCCCC1)C1CCCCC1,,106,-85.1710791,-9.514,-6.8963,2.61769576,4.651183008831173,4.066022775877201,7.3466410923744565
data\raw\xyz\107\107.xyz,107.xyz,c12cccc3cccc(c13)[B]1(c3ccccc3-c3ccccc13)[P]2(C(C)C)C(C)C,,107,-77.99234912,-9.5358,-7.1277,2.40809998,4.651278742768438,3.7238703633403856,6.16650248545583
data\raw\xyz\108\108.xyz,108.xyz,[B]1(c2c3c(cccc3ccc2)[P]1(c1ccccc1)c1ccccc1)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,,108,-108.77087002,-9.45,-7.1463,2.30366513,7.628384158198408,4.698773891636481,7.6571679068345695
data\raw\xyz\109\109.xyz,109.xyz,B(c1c2c(ccc3c2c(cc1)CC3)P(c1ccccc1)c1ccccc1)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,,109,-114.08983704,-9.4722,-7.1578,2.31439338,7.749666421705207,4.772135213540055,7.633767672876523
data\raw\xyz\11\11.xyz,11.xyz,c1(ccccc1N1C(CCCC1(C)C)(C)C)B(Cl)Cl,,11,-56.68510462,-9.246,-7.6271,1.61886597,4.714361744986004,3.306013763376941,5.4046765717273235
data\raw\xyz\111\111.xyz,111.xyz,P(c1ccccc1)(c1c2-c3c(cccc3-c2ccc1)B(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C)c1ccccc1,,111,-112.98592892,-9.7002,-7.2752,2.42499469,8.257272562362477,4.7071989155767735,10.18443441163913
data\raw\xyz\112\112.xyz,112.xyz,P(c1cccc2-c3cccc(c3-c12)B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,,112,-155.19850967,-9.8455,-9.0513,0.79416899,7.2855994057224365,5.468364545611678,8.143223257216423
data\raw\xyz\113\113.xyz,113.xyz,P(c1ccccc1B(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C)(C1CCCCC1)C1CCCCC1,,113,-105.36899384,-9.4484,-7.13,2.31838799,9.574026013692906,4.793648203046685,7.522314668169914
data\raw\xyz\114\114.xyz,114.xyz,B([C@H]1[C@H](N2CCCCC2)CCC1)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,,114,-107.74516698,-9.8533,-9.0487,0.8046291,7.174188787206017,4.046261037474574,7.180249978830377
data\raw\xyz\115\115.xyz,115.xyz,c1cc2c(cc1)[N]([BH2]2)(C)C,,115,-27.3887485,-10.015,-5.8496,4.16546262,5.7333233227201035,1.7,6.140235167424942
data\raw\xyz\12\12.xyz,12.xyz,c1(ccccc1N1C(CCCC1(C)C)(C)C)BCl,,12,-52.60968889,-9.0918,-7.5955,1.49630947,4.711420922029034,3.2341321276638757,5.291430498187264
data\raw\xyz\120\120.xyz,120.xyz,N1(CCCB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)C(CCCC1(C)C)(C)C,,120,-115.08566456,-9.505,-9.1703,0.33465741,11.86914833392196,3.337830496755254,7.552843007481366
data\raw\xyz\122\122.xyz,122.xyz,P(c1c(B(OC)OC)cccc1)(c1ccccc1)c1ccccc1,,122,-64.93225729,-9.6432,-6.5313,3.11185458,7.226589290711203,2.26416158006922,6.718522648608188
data\raw\xyz\123\123.xyz,123.xyz,P(c1c(B2OC(C(O2)(C)C)(C)C)cccc1)(c1ccccc1)c1ccccc1,,123,-76.60715916,-9.6139,-6.5855,3.02837214,7.234805584379108,3.061652412875665,8.012308767541157
data\raw\xyz\124\124.xyz,124.xyz,P(c1c(B2OCC(CO2)(C)C)cccc1)(c1ccccc1)c1ccccc1,,124,-73.43723683,-9.6445,-6.4891,3.15540663,7.223849161626786,2.5237064380967515,8.42852261296402
data\raw\xyz\125\125.xyz,125.xyz,P(c1c(B(OC)OC)cccc1)(C(C)C)C(C)C,,125,-54.15067181,-9.4937,-6.1338,3.35988447,7.201188407001837,3.7754728073504413,6.652455523874613
data\raw\xyz\126\126.xyz,126.xyz,P(c1c(b2oc3c(o2)cccc3)cccc1)(C(C)C)C(C)C,,126,-61.72677953,-9.587,-6.8187,2.76823367,7.247180456164713,3.6985433231956173,9.208942623559304
data\raw\xyz\127\127.xyz,127.xyz,P(c1c(B2OC(C(O2)(C)C)(C)C)cccc1)(C(C)C)C(C)C,,127,-65.82695582,-9.376,-6.4264,2.9496008,7.2462483409482195,3.4390261373303987,8.053506481445135
data\raw\xyz\129\129.xyz,129.xyz,Cc1cc(C)cc(c1B(c1c(C)cc(C)cc1C)c1c(N(C)C)cccc1)C,,129,-76.15110419,-9.2368,-6.9788,2.25798063,7.298179882531361,2.00648170668299,10.171882546302845
data\raw\xyz\13\13.xyz,13.xyz,c1(ccccc1N1C(CCCC1(C)C)(C)C)B(c1c(F)c(F)c(F)c(F)c1F)Cl,,13,-88.58359008,-9.604,-8.1569,1.447106,4.700303863250879,3.9286525952918008,6.794901137973542
data\raw\xyz\130\130.xyz,130.xyz,Cc1cc(C)c(C)cc1B(c1c(C)cc(C)c(C)c1)c1c(N(C)C)cccc1,,130,-76.15413908,-9.1539,-6.9757,2.17820644,7.148492812929349,2.043284931033215,10.444314132415208
