flp_code,flp_id,la_lb_distance_A,E_gas_kcal_mol,H_gas_kcal_mol,G_gas_kcal_mol,E_sol_kcal_mol,H_sol_kcal_mol,G_sol_kcal_mol
0BP06011,1,6.247,-4.9,-4.0,4.9,-4.8,-3.9,5.1
0BP07011,2,2.217,-5.6,-4.3,8.1,-9.7,-8.4,4.0
0BN08011,3,3.518,-7.3,-5.1,9.0,-11.3,-9.1,4.9
0BP08011,4,1.807,-12.7,-11.6,0.9,-15.5,-14.4,-1.9
0BP08012,5,1.79,-14.4,-13.5,0.0,-16.9,-16.0,-2.5
0BN03011,7,2.991,3.9,5.2,19.4,-14.7,-13.4,-0.8
0BN12011,8,1.758,-3.5,-1.8,10.2,1.2,2.5,16.8
0BN17011,9,3.008,4.0,6.4,20.4,-6.7,-5.0,7.1
0BN17012,10,2.978,8.7,11.3,26.8,-0.2,2.2,16.2
0BN17013,11,3.011,7.0,9.7,23.1,4.2,6.8,22.3
0BN17014,12,2.912,9.4,12.4,27.4,0.1,2.8,16.2
0BN17015,13,2.96,7.2,9.6,23.6,4.1,7.0,22.1
0BN17016,14,1.725,-2.2,-0.3,11.3,2.1,4.5,18.4
0BN17017,15,1.753,-3.2,-1.4,10.7,-6.0,-4.1,7.5
0BP13011,16,3.462,-18.6,-17.1,-1.6,-7.1,-5.3,6.8
0BP12011,17,2.152,-9.7,-8.2,3.9,-21.9,-20.4,-4.8
0BP16011,18,2.173,-14.4,-13.2,-0.7,-12.5,-11.0,1.1
0BN10011,19,2.355,-28.9,-26.9,-11.6,-17.3,-16.1,-3.6
0BP15031,20,3.463,-10.3,-9.3,5.9,-30.2,-28.2,-12.9
0BP15032,21,2.229,-5.5,-4.2,8.9,-14.9,-13.9,1.3
0BP16031,22,2.049,16.6,17.5,27.7,-11.5,-10.3,2.9
0BP16032,23,2.008,13.0,13.5,22.2,11.4,12.3,22.6
0BN16011,24,1.713,13.8,14.4,24.4,8.1,8.6,17.3
0BN16012,25,1.728,18.1,18.3,26.9,14.2,14.7,24.7
0BP09011,26,2.082,6.9,7.7,16.8,14.3,14.5,23.1
0BP09012,27,2.171,-3.5,-2.2,10.0,3.0,3.8,12.9
0BP09013,28,2.104,-4.6,-3.7,7.7,-6.7,-5.4,6.8
0BP09014,29,2.149,-4.1,-3.0,9.2,-7.5,-6.5,4.9
0BP16021,30,2.121,7.9,8.6,19.1,-7.6,-6.5,5.7
0BP16022,31,2.142,10.4,11.0,22.1,3.7,4.4,15.0
0BP16023,32,2.095,11.7,12.0,20.6,6.4,7.0,18.1
0BN11031,33,3.258,-1.0,0.9,13.2,7.9,8.1,16.8
0BN14011,34,3.508,-5.4,-3.7,10.1,-3.6,-1.7,10.6
0BN14012,35,3.247,-4.3,-2.4,10.4,-9.2,-7.5,6.3
0BN14013,36,3.25,-7.0,-4.8,8.0,-8.5,-6.5,6.3
0BN14014,37,3.119,-1.9,-0.1,14.6,-11.6,-9.5,3.3
0BN14015,38,3.778,-0.4,1.5,16.0,-4.9,-3.0,11.6
0BN14016,39,3.462,2.2,4.0,17.4,-3.7,-1.7,12.8
0BN15021,40,3.344,12.1,14.2,28.3,-0.4,1.4,14.7
0PN12011,41,1.869,-27.3,-24.8,-11.2,7.7,9.8,23.9
0AN13011,42,3.435,-16.5,-15.0,0.1,-29.1,-26.5,-12.9
0BN18021,43,2.864,0.0,1.5,14.9,-18.8,-17.3,-2.2
0BP14011,44,3.253,4.9,5.3,18.0,-3.1,-1.6,11.8
0BP13021,45,2.028,0.9,1.9,15.5,0.2,0.7,13.3
0BP13022,46,2.019,-3.6,-2.5,10.1,-1.9,-1.0,12.7
0BP17011,47,3.846,-0.7,0.4,13.3,-6.2,-5.1,7.4
0BP20031,48,3.08,-0.6,0.0,5.7,-4.4,-3.3,9.6
0BP20041,49,2.671,-8.1,-5.7,8.7,-1.0,-0.4,5.3
0BP16051,50,2.082,0.3,1.1,15.8,-9.7,-7.3,7.1
0BP19011,51,3.394,-7.2,-4.9,12.4,-2.7,-1.9,12.9
0BN18011,52,1.729,5.4,6.0,16.4,-10.1,-7.8,9.4
0BN16021,53,3.539,16.8,17.9,28.3,1.4,2.1,12.5
0BP17021,54,3.187,-21.7,-19.9,-8.9,15.8,16.9,27.3
0BN15011,55,3.32,7.5,9.6,23.1,-27.4,-25.6,-14.6
0BN10021,56,2.55,-19.3,-17.0,-3.3,3.9,5.9,19.4
0BN19011,57,4.703,-19.7,-17.9,-6.5,-22.4,-20.2,-6.5
0BP09021,58,1.756,-19.9,-19.1,-6.4,-19.4,-17.5,-6.1
0BN09011,59,2.493,-16.4,-14.1,0.1,-22.8,-22.0,-9.3
0BN11021,60,3.056,-24.3,-22.1,-8.4,-20.1,-17.8,-3.6
0BN11022,61,3.075,-18.1,-16.1,-1.3,-27.0,-24.8,-11.1
0BP19021,62,2.563,-11.4,-9.2,0.6,-20.4,-18.3,-3.6
0BP18011,63,2.868,-10.4,-9.1,3.7,-14.5,-12.3,-2.5
0BP20051,64,2.08622,-7.9,-7.0,3.9,-13.3,-12.0,0.8
0BP20061,65,3.14856,-14.1,-12.0,4.2,-11.0,-10.0,0.8
0BP20011,66,1.993,-28.5,-27.3,-18.8,-16.8,-14.7,1.5
0AP20011,67,2.61169,-9.8,-8.4,4.7,-29.5,-28.3,-19.7
0?P15011,68,3.24,-5.7,-4.5,9.7,-13.0,-11.6,1.5
0?P19011,69,3.359,-3.8,-2.8,9.0,-11.4,-10.2,4.0
0?P19012,70,3.435,4.1,5.3,16.9,-11.0,-10.0,1.8
0BP19031,71,2.955,-16.6,-15.7,-4.5,-2.3,-1.1,10.5
0BP16061,72,2.938,-23.3,-22.3,-10.7,-20.9,-20.0,-8.8
0BN11011,73,1.716,3.9,5.0,15.0,-27.3,-26.2,-14.7
0BN11012,74,1.704,-2.5,-0.7,10.9,-0.2,1.0,10.9
0BN11013,75,1.717,5.3,6.9,19.4,-6.2,-4.4,7.3
0BN11014,76,1.781,-7.4,-5.7,6.4,1.7,3.2,15.8
0BN11015,77,1.727,-6.6,-5.1,7.2,-10.8,-9.2,3.0
0BP15011,78,5.195,-13.3,-12.2,3.0,-10.2,-8.6,3.6
0BP15021,79,5.433,-1.1,-4.9,12.5,-17.4,-16.3,-1.0
0BP15022,80,4.0843,4.2,5.2,19.0,0.9,-3.0,14.4
0BP15023,81,4.386,-4.1,-3.0,10.6,0.6,1.6,15.4
0BP19041,83,4.434,2.0,2.7,15.0,-10.2,-9.1,4.5
0BP19051,84,2.238,-11.3,-9.9,3.6,-3.2,-2.5,9.8
0BP19052,85,2.174,-8.6,-7.2,6.5,-14.3,-12.9,0.5
0BP16041,86,2.235,-13.7,-12.5,0.9,-11.5,-10.1,3.6
0BP16042,87,2.237,-13.4,-12.2,1.2,-15.8,-14.6,-1.2
0AP19011,88,3.275,-21.7,-20.2,-7.3,-15.5,-14.3,-0.8
0AP19012,89,3.133,-4.0,-2.9,6.6,-25.0,-23.5,-10.6
0AP16011,90,3.263,-9.5,-7.9,3.2,-4.1,-3.0,6.4
0AP18011,91,3.215,-20.5,-19.3,-7.6,-13.7,-12.2,-1.0
0BS18011,94,2.879,6.6,7.3,18.6,-22.6,-21.4,-9.7
0BP17031,95,2.999,-7.0,-5.8,6.0,4.2,4.9,16.2
0BP13061,96,2.808,-4.1,-3.1,10.3,-12.0,-10.8,1.0
0BN19021,97,2.928,-30.5,-28.3,-14.0,-7.0,-6.1,7.4
0BN19022,98,1.633,-29.1,-26.5,-13.3,-35.1,-32.9,-18.6
