FLPID,OLD ID,LA-LB distance (A),CH3OH,E_CH3OH,H_CH3OH,G_CH3OH,E_CH3OH_sol,H_CH3OH_sol,G_CH3OH_sol,molecule,CO2,E_CO2,H_CO2,G_CO2,E_CO2_sol,H_CO2_sol,G_CO2_sol,H2,E_H2,H_H2,G_H2,E_H2_sol,H_H2_sol,G_H2_sol,H2CO,E_H2CO,H_H2CO,G_H2CO,E_H2CO_sol,H_H2CO_sol,G_H2CO_sol,H2O,E_H2O,H_H2O,G_H2O,E_H2O_sol,H_H2O_sol,G_H2O_sol,HCOOH,E_HCOOH,H_HCOOH,G_HCOOH,E_HCOOH_sol,H_HCOOH_sol,G_HCOOH_sol
0BP06011,1,6.247,CH3OH,-19.1,-17.2,-3.8,-19.0,-17.1,-3.7,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP07011,2,2.217,CH3OH,-16.6,-15.6,-4.7,-15.8,-14.7,-3.8,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN08011,3,3.518,CH3OH,-39.6,-37.6,-23.0,-40.9,-38.9,-24.3,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP08011,4,1.807,CH3OH,-7.7,-5.8,9.3,-7.7,-5.8,9.3,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP08012,5,1.79,CH3OH,-12.5,-11.0,5.2,-11.3,-9.8,6.4,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN03011,7,2.991,CH3OH,-24.0,-23.0,-8.9,-18.4,-17.6,-4.8,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN12011,8,1.758,CH3OH,-28.9,-27.6,-15.4,-23.2,-22.2,-8.1,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN17011,9,3.008,CH3OH,-11.1,-9.4,4.2,-29.1,-27.7,-15.6,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN17012,10,2.978,CH3OH,-32.2,-29.8,-16.3,-10.6,-8.9,4.7,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN17013,11,3.011,CH3OH,-41.3,-38.6,-25.8,-34.0,-31.6,-18.1,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN17014,12,2.912,CH3OH,-35.2,-32.4,-18.6,-45.0,-42.3,-29.5,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN17015,13,2.96,CH3OH,-38.6,-36.3,-22.8,-37.8,-35.1,-21.2,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN17016,14,1.725,CH3OH,-23.4,-21.9,-10.7,-41.0,-38.8,-25.2,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN17017,15,1.753,CH3OH,-30.7,-28.6,-16.9,-23.8,-22.4,-11.2,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP13011,16,3.462,CH3OH,-29.3,-28.1,-12.5,-31.9,-29.8,-18.1,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP12011,17,2.152,CH3OH,-13.5,-13.1,0.0,-28.1,-26.9,-11.2,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP16011,18,2.173,CH3OH,-22.2,-21.6,-9.3,-12.2,-11.8,1.3,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN10011,19,2.355,CH3OH,-38.6,-37.1,-21.0,-21.6,-21.1,-8.8,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP15031,20,3.463,CH3OH,-19.2,-18.0,-2.6,-37.6,-36.1,-20.0,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP15032,21,2.229,CH3OH,-19.2,-18.1,-6.2,-18.5,-17.3,-1.9,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP16031,22,2.049,CH3OH,-1.4,-0.4,11.0,-21.0,-19.9,-7.9,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP16032,23,2.008,CH3OH,-0.8,-0.1,11.3,-0.5,0.6,12.0,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN16011,24,1.713,CH3OH,-15.7,-15.7,-4.7,0.7,1.3,12.7,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN16012,25,1.728,CH3OH,-14.9,-14.8,-5.2,-16.3,-16.2,-5.3,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP09011,26,2.082,CH3OH,-3.9,-3.6,5.3,-13.7,-13.6,-4.0,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP09012,27,2.171,CH3OH,-22.0,-21.5,-10.7,-3.5,-3.3,5.6,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP09013,28,2.104,CH3OH,-23.0,-22.3,-11.5,-20.8,-20.3,-9.5,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP09014,29,2.149,CH3OH,-12.1,-11.4,-0.7,-21.0,-20.3,-9.5,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP16021,30,2.121,CH3OH,-9.2,-8.8,2.2,-11.1,-10.4,0.3,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP16022,31,2.142,CH3OH,-8.9,-7.9,0.8,-7.9,-7.6,3.4,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP16023,32,2.095,CH3OH,-12.0,-12.2,-4.1,-9.1,-8.0,0.7,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN11031,33,3.258,CH3OH,-34.0,-32.3,-18.6,-11.2,-11.3,-3.2,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN14011,34,3.508,CH3OH,-37.1,-35.0,-19.7,-34.6,-32.9,-19.3,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN14012,35,3.247,CH3OH,-37.4,-35.6,-22.1,-38.1,-36.0,-20.7,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN14013,36,3.25,CH3OH,-39.3,-37.4,-24.4,-39.0,-37.2,-23.7,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN14014,37,3.119,CH3OH,-35.1,-33.8,-17.9,-41.2,-39.3,-26.4,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN14015,38,3.778,CH3OH,-36.3,-34.1,-19.0,-35.9,-34.6,-18.7,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN14016,39,3.462,CH3OH,-32.4,-31.4,-18.0,-37.4,-35.1,-20.0,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN15021,40,3.344,CH3OH,-28.5,-26.7,-12.5,-31.3,-30.3,-17.0,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0PN12011,41,1.869,CH3OH,-28.1,-25.5,-11.6,-30.1,-28.3,-14.1,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0AN13011,42,3.435,CH3OH,-20.9,-19.1,-5.1,-26.2,-23.6,-9.7,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN18021,43,2.864,CH3OH,-29.4,-27.8,-15.1,-20.6,-18.7,-4.7,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP14011,44,3.253,CH3OH,-9.0,-7.8,5.5,-30.6,-29.0,-16.3,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP13021,45,2.028,CH3OH,-8.8,-8.1,4.6,-8.3,-7.2,6.2,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP13022,46,2.019,CH3OH,-9.6,-8.5,5.1,-7.2,-6.5,6.2,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP17011,47,3.846,CH3OH,-12.4,-11.3,1.0,-7.8,-6.7,6.9,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP20031,48,3.08,CH3OH,-6.2,-5.1,4.4,-12.4,-11.3,1.1,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP20041,49,2.671,CH3OH,-16.8,-14.2,0.3,-4.9,-3.8,5.7,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP16051,50,2.082,CH3OH,-14.3,-16.3,5.7,-15.2,-12.7,1.9,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP19011,51,3.394,CH3OH,-22.3,-19.9,-4.5,-12.6,-14.6,7.4,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN18011,52,1.729,CH3OH,-18.7,-17.3,-6.1,-20.8,-18.4,-3.0,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN16021,53,3.539,CH3OH,-7.9,-6.7,3.8,-20.6,-19.2,-8.0,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP17021,54,3.187,CH3OH,-16.3,-14.2,-5.6,-5.2,-4.0,6.5,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN15011,55,3.32,CH3OH,-21.2,-19.8,-4.2,-17.3,-15.3,-6.7,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN10021,56,2.55,CH3OH,-33.9,-31.6,-17.6,-20.5,-19.0,-3.4,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN19011,57,4.703,CH3OH,-67.8,-64.2,-48.9,-34.1,-31.8,-17.8,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP09021,58,1.756,CH3OH,-23.2,-21.5,-6.9,-74.8,-71.2,-55.8,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN09011,59,2.493,CH3OH,-19.4,-18.2,-3.2,-22.3,-20.6,-6.0,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN11021,60,3.056,CH3OH,-32.5,-30.5,-16.7,-17.2,-16.0,-1.1,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BN11022,61,3.075,CH3OH,-34.6,-32.7,-18.1,-31.6,-29.6,-15.8,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP19021,62,2.563,CH3OH,-15.3,-12.3,-1.9,-33.0,-31.1,-16.4,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP18011,63,2.868,CH3OH,-16.7,-15.0,-1.9,-15.2,-12.2,-1.8,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP20051,64,2.08622,CH3OH,-15.3,-13.9,-2.9,-16.4,-14.6,-1.6,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0BP20061,65,3.14856,CH3OH,-20.1,-18.4,-4.1,-14.0,-12.7,-1.6,CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
